,TIME,ZNI_HHWS_TEMP,ZNI_HHWR_TEMP,ZNI_VFD1_SPD,ZNI_VFD2_SPD,ZNI_VFD1_EN,ZNI_VFD2_EN,BCC_HHWS_TEMP,BCC_HHWR_TEMP,BCC_HHWR_FLOW,CHP_HHWS_TEMP,CHP_HHWR_TEMP,CHP_FLOW,CHP_B1_SS,CHP_B2_SS,CHP_B3_SS
0,2019-12-31 23:00:00,165.58,129.3,66.67,66.46,1.0,1.0,139.71,107.03,127.84,154.16,140.42,118.77,0.0,0.0,0.0
1,2019-12-31 22:00:00,163.58,127.81,67.01,66.21,1.0,1.0,139.75,107.28,125.01,166.72,155.0,406.54,1.0,1.0,0.0
2,2019-12-31 21:00:00,163.24,127.84,66.67,66.39,1.0,1.0,139.81,107.58,127.07,166.26,155.11,406.36,1.0,1.0,0.0
3,2019-12-31 20:00:00,163.23,126.86,66.0,66.24,1.0,1.0,140.66,107.82,121.27,165.96,155.29,406.63,1.0,1.0,0.0
4,2019-12-31 19:00:00,162.96,127.19,66.03,66.4,1.0,1.0,140.42,108.66,121.16,166.09,155.51,406.25,1.0,1.0,0.0
5,2019-12-31 18:00:00,162.64,127.13,66.41,65.78,1.0,1.0,140.51,108.89,119.37,165.51,155.62,406.97,1.0,1.0,0.0
6,2019-12-31 17:00:00,162.47,127.19,66.33,66.22,1.0,1.0,140.77,109.56,109.61,165.32,156.19,407.13,1.0,1.0,0.0
7,2019-12-31 16:00:00,162.79,129.39,66.55,65.95,1.0,1.0,140.99,111.24,103.62,165.6,156.61,406.53,1.0,1.0,0.0
8,2019-12-31 15:00:00,162.95,129.55,67.38,65.6,1.0,1.0,141.1,110.92,103.12,165.66,157.11,407.06,1.0,1.0,0.0
9,2019-12-31 14:00:00,162.64,128.99,67.46,65.44,1.0,1.0,140.7,110.76,113.53,165.3,156.39,407.29,1.0,1.0,0.0
10,2019-12-31 13:00:00,162.85,130.22,67.81,66.21,1.0,1.0,140.46,110.99,119.79,165.42,156.01,407.38,1.0,1.0,0.0
11,2019-12-31 12:00:00,162.81,129.87,67.72,65.46,1.0,1.0,140.05,110.0,121.77,166.83,158.06,412.41,1.0,1.0,0.38
