,TIME,CHP_HHWS_TEMP,CHP_HHWR_TEMP,CHP_FLOW
0,12/31/2019 23:00,154.16,140.42,118.77
1,12/31/2019 22:00,166.72,155,406.54
2,12/31/2019 21:00,166.26,155.11,406.36
3,12/31/2019 20:00,165.96,155.29,406.63
4,12/31/2019 19:00,166.09,155.51,406.25
5,12/31/2019 18:00,165.51,155.62,406.97
6,12/31/2019 17:00,165.32,156.19,407.13
7,12/31/2019 16:00,165.6,156.61,406.53
8,12/31/2019 15:00,165.66,157.11,407.06
9,12/31/2019 14:00,165.3,156.39,407.29
10,12/31/2019 13:00,165.42,156.01,407.38
11,12/31/2019 12:00,166.83,158.06,412.41
12,12/31/2019 11:00,167.78,158.66,426.92
13,12/31/2019 10:00,166.81,156.85,426.92
14,12/31/2019 9:00,166.21,155.38,426.92
15,12/31/2019 8:00,165.52,152.73,426.92
16,12/31/2019 7:00,133.82,116.81,419.64
17,12/31/2019 6:00,116.34,92.09,194.68
18,12/31/2019 5:00,126.4,93.87,89.32
19,12/31/2019 4:00,128.88,97.68,89.32
20,12/31/2019 3:00,133.1,100.34,89.53
21,12/31/2019 2:00,139.99,102.97,89.63
22,12/31/2019 1:00,146.61,117.21,89.32
23,12/31/2019 0:00,148.13,123.76,88.93
24,12/30/2019 23:00,153.4,139.74,108.05
25,12/30/2019 22:00,165.46,153.78,389.32
26,12/30/2019 21:00,165.86,153.81,389.42
27,12/30/2019 20:00,165.82,154.15,389.7
28,12/30/2019 19:00,166.12,154.64,389.07
29,12/30/2019 18:00,165.98,155.07,387.71
30,12/30/2019 17:00,165.66,155.23,386.52
31,12/30/2019 16:00,165.64,154.88,385.42
32,12/30/2019 15:00,167.19,157.86,407.3
33,12/30/2019 14:00,167.84,158.61,428.27
34,12/30/2019 13:00,167.58,157.86,428.27
35,12/30/2019 12:00,167,156.96,428.27
36,12/30/2019 11:00,166.71,156.66,428.27
37,12/30/2019 10:00,166.14,155.36,428.27
38,12/30/2019 9:00,165.88,154.87,428.27
39,12/30/2019 8:00,165.61,153.2,428.27
40,12/30/2019 7:00,135.8,118.62,428.33
41,12/30/2019 6:00,116.42,93.78,248.83
42,12/30/2019 5:00,125.2,94.21,148.41
43,12/30/2019 4:00,128.34,98.27,148.41
44,12/30/2019 3:00,132.62,103.33,148.41
45,12/30/2019 2:00,138.44,109.8,148.41
46,12/30/2019 1:00,146.77,117.26,156.35
47,12/30/2019 0:00,151.97,131.5,168.24
48,12/29/2019 23:00,154.93,144.3,181.37
49,12/29/2019 22:00,166.41,156.81,429.49
50,12/29/2019 21:00,166.3,156.66,429.49
51,12/29/2019 20:00,166.52,156.86,429.49
52,12/29/2019 19:00,166.9,157.53,429.49
53,12/29/2019 18:00,167.63,158.26,429.49
54,12/29/2019 17:00,168.03,158.79,429.49
55,12/29/2019 16:00,168.07,158.78,429.49
56,12/29/2019 15:00,168.29,159.38,429.49
57,12/29/2019 14:00,168.18,158.96,429.49
58,12/29/2019 13:00,167.37,157.7,429.49
59,12/29/2019 12:00,166.86,156.81,429.49
60,12/29/2019 11:00,166.19,155.55,429.49
61,12/29/2019 10:00,166.73,155.67,429.49
62,12/29/2019 9:00,166.19,154.42,429.49
63,12/29/2019 8:00,164.43,150.22,429.49
64,12/29/2019 7:00,132.48,114.85,427.87
65,12/29/2019 6:00,115.15,91.36,229.59
66,12/29/2019 5:00,124.43,91.77,122.45
67,12/29/2019 4:00,127.84,96.21,122.41
68,12/29/2019 3:00,132.6,101.23,121.66
69,12/29/2019 2:00,139.16,107.29,120.48
70,12/29/2019 1:00,146.23,115.48,119.28
71,12/29/2019 0:00,150.92,130.9,118.5
72,12/28/2019 23:00,153.74,144.09,140.12
73,12/28/2019 22:00,166.29,156.16,425.09
74,12/28/2019 21:00,166.35,156.68,425.09
75,12/28/2019 20:00,166.58,156.78,425.09
76,12/28/2019 19:00,167.26,157.82,425.09
77,12/28/2019 18:00,167.69,158.18,425.09
78,12/28/2019 17:00,167.86,158.54,425.09
79,12/28/2019 16:00,168.46,159.43,425.09
80,12/28/2019 15:00,168.6,159.47,425.09
81,12/28/2019 14:00,168.16,158.65,425.09
82,12/28/2019 13:00,167.07,157.64,425.09
83,12/28/2019 12:00,166.69,156.55,425.09
84,12/28/2019 11:00,166.37,155.54,425.09
85,12/28/2019 10:00,166.34,154.63,425.09
86,12/28/2019 9:00,165.79,153.19,425.09
87,12/28/2019 8:00,162.54,147.45,425.09
88,12/28/2019 7:00,131.03,113.17,422.6
89,12/28/2019 6:00,113.92,90.79,252.48
90,12/28/2019 5:00,123.92,90.57,128.1
91,12/28/2019 4:00,127.24,94.5,124.03
92,12/28/2019 3:00,131.57,100.27,122.65
93,12/28/2019 2:00,136.63,107.78,121.56
94,12/28/2019 1:00,145.24,114.96,120.21
95,12/28/2019 0:00,151.66,129.94,117.94
96,12/27/2019 23:00,154.83,143.65,134.26
97,12/27/2019 22:00,165.86,155.62,430.83
98,12/27/2019 21:00,165.81,155.59,430.83
99,12/27/2019 20:00,166.28,156.18,430.83
100,12/27/2019 19:00,166.52,156.47,430.83
101,12/27/2019 18:00,167.13,156.91,430.83
102,12/27/2019 17:00,167.93,158.58,430.83
103,12/27/2019 16:00,168.61,159.4,430.83
104,12/27/2019 15:00,168.85,159.3,430.83
105,12/27/2019 14:00,167.71,158.36,430.83
106,12/27/2019 13:00,167.02,157.09,430.83
107,12/27/2019 12:00,166.79,156.4,430.83
108,12/27/2019 11:00,165.99,155.66,430.83
109,12/27/2019 10:00,166.02,155.24,430.83
110,12/27/2019 9:00,166.33,154.29,430.83
111,12/27/2019 8:00,163.99,149.91,430.83
112,12/27/2019 7:00,132.63,114.98,426.48
113,12/27/2019 6:00,114.55,93.63,251.25
114,12/27/2019 5:00,122.99,93.96,125.18
115,12/27/2019 4:00,126.54,98.52,125.04
116,12/27/2019 3:00,130.56,101.21,124.8
117,12/27/2019 2:00,142.88,105.49,124.64
118,12/27/2019 1:00,146.11,121.99,123.37
119,12/27/2019 0:00,147.29,130.43,121.43
120,12/26/2019 23:00,154.56,144.99,126.75
121,12/26/2019 22:00,165.65,154.5,185.53
122,12/26/2019 21:00,165.4,154.55,185.53
123,12/26/2019 20:00,165.82,155.3,185.53
124,12/26/2019 19:00,165.78,155.33,185.53
