Time,CP.CHW-SYS.SEBCHWR-F
"7/30/20, 12:00:00 PM PDT",260.4872
"7/30/20, 12:15:00 PM PDT",248.6966
"7/30/20, 12:30:00 PM PDT",262.5348
"7/30/20, 12:45:00 PM PDT",251.807
"7/30/20, 1:00:00 PM PDT",246.1626
"7/30/20, 1:15:00 PM PDT",250.5098
"7/30/20, 1:30:00 PM PDT",248.0717
"7/30/20, 1:45:00 PM PDT",261.6802
"7/30/20, 2:00:00 PM PDT",247.7394
"7/30/20, 2:15:00 PM PDT",261.8454
"7/30/20, 2:30:00 PM PDT",250.7662
"7/30/20, 2:45:00 PM PDT",255.3327
"7/30/20, 3:00:00 PM PDT",246.5603
"7/30/20, 3:15:00 PM PDT",249.2511
"7/30/20, 3:30:00 PM PDT",263.2007
"7/30/20, 3:45:00 PM PDT",251.6687
"7/30/20, 4:00:00 PM PDT",261.6137
"7/30/20, 4:15:00 PM PDT",250.5388
"7/30/20, 4:30:00 PM PDT",259.4943
"7/30/20, 4:45:00 PM PDT",260.9641
"7/30/20, 5:00:00 PM PDT",252.1542
"7/30/20, 5:15:00 PM PDT",263.2234
"7/30/20, 5:30:00 PM PDT",252.839
"7/30/20, 5:45:00 PM PDT",261.8523
"7/30/20, 6:00:00 PM PDT",254.8248
"7/30/20, 6:15:00 PM PDT",254.05
"7/30/20, 6:30:00 PM PDT",263.8488
"7/30/20, 6:45:00 PM PDT",253.5815
"7/30/20, 7:00:00 PM PDT",261.7635
"7/30/20, 7:15:00 PM PDT",255.0793
"7/30/20, 7:30:00 PM PDT",263.6775
"7/30/20, 7:45:00 PM PDT",258.6382
"7/30/20, 8:00:00 PM PDT",251.7035
"7/30/20, 8:15:00 PM PDT",263.4241
"7/30/20, 8:30:00 PM PDT",252.1823
"7/30/20, 8:45:00 PM PDT",302.4264
"7/30/20, 9:00:00 PM PDT",255.3417
"7/30/20, 9:15:00 PM PDT",259.3946
"7/30/20, 9:30:00 PM PDT",251.0393
"7/30/20, 9:45:00 PM PDT",258.0228
"7/30/20, 10:00:00 PM PDT",257.3266
"7/30/20, 10:15:00 PM PDT",248.087
"7/30/20, 10:30:00 PM PDT",259.642
"7/30/20, 10:45:00 PM PDT",251.002
"7/30/20, 11:00:00 PM PDT",259.9129
"7/30/20, 11:15:00 PM PDT",249.6072
"7/30/20, 11:30:00 PM PDT",248.8413
"7/30/20, 11:45:00 PM PDT",260.42
"7/31/20, 12:00:00 AM PDT",249.563
