Time ,UVO HHWS Temp,UVO HHWR Temp,UVO HHW ret Flow ,UVO CHWS Temp,UVO CHWR Temp,UVO CHW Ret Flow
12/31/19 11:00 PM,185.52,140.68,117.35,42.01,47.05,385.02
12/31/19 10:00 PM,186.41,140.45,112.65,41.59,47.62,408.43
12/31/19 9:00 PM,186.74,141.2,108.01,41.76,48.51,437.7
12/31/19 8:00 PM,186.76,142.48,108.86,41.42,48.6,455.53
12/31/19 7:00 PM,186.68,142.77,104.45,41.64,49.3,513.55
12/31/19 6:00 PM,187.66,142.92,81.58,41.78,50.15,595.18
12/31/19 5:00 PM,189.18,142.52,74.42,41.86,50.71,692.59
12/31/19 4:00 PM,189.05,142.38,75.3,41.85,51.22,745.5
12/31/19 3:00 PM,189.07,142.91,74.5,41.96,51.19,750.62
12/31/19 2:00 PM,188.88,143.88,76.96,41.9,51,733.84
12/31/19 1:00 PM,188.01,143.18,88.79,42,50.86,685.29
12/31/19 12:00 PM,191.89,145.62,101.78,42.17,50.33,614.21
12/31/19 11:00 AM,190.97,146.97,119.13,42.01,49.47,568.69
12/31/19 10:00 AM,188.2,148.62,151.55,41.91,48.46,501.24
12/31/19 9:00 AM,189.16,145.48,163,41.81,46.77,424.44
12/31/19 8:00 AM,187.04,144.59,195,42.04,45.88,395.21
12/31/19 7:00 AM,187.28,144.06,190.12,41.38,45.67,361.46
12/31/19 6:00 AM,187.74,143.46,182.69,41.96,45.71,355.83
12/31/19 5:00 AM,187.74,144.16,164.48,41.39,45.58,352.55
12/31/19 4:00 AM,188.49,144.97,150,41.59,45.73,349.43
12/31/19 3:00 AM,188,143.92,147.7,42.1,45.49,348.68
12/31/19 2:00 AM,188.01,143.72,135.19,41.84,45.21,335.96
12/31/19 1:00 AM,189.03,143.84,129.59,41.46,45.4,333.16
12/31/19 12:00 AM,188.46,143.39,132.12,41.77,46.19,351.38
12/30/19 11:00 PM,188.68,143.7,140.33,42.23,46.35,367.75
12/30/19 10:00 PM,188.25,143.64,145.44,41.67,46.5,382.6
12/30/19 9:00 PM,188.01,144.3,144.32,41.61,47.4,401.73
12/30/19 8:00 PM,188.4,144.9,135.5,41.5,48.08,431.77
12/30/19 7:00 PM,189.34,148.71,138.79,42.23,47.86,428.48
12/30/19 6:00 PM,190.38,152.83,141.21,42.99,49.25,487.75
12/30/19 5:00 PM,191.34,153.04,134.91,42.92,49.32,501.01
12/30/19 4:00 PM,190.9,155.18,148.58,42.14,49.24,531.73
12/30/19 3:00 PM,190.29,152.81,140.23,42.15,48.98,542.27
12/30/19 2:00 PM,189.42,149.67,138.7,41.69,48.16,467.92
12/30/19 1:00 PM,188.64,149.02,156.37,41.88,48.44,451.54
12/30/19 12:00 PM,188.51,149.3,167.82,41.85,48.31,444.5
12/30/19 11:00 AM,187.89,147.75,190.73,43.2,47.49,420.19
12/30/19 10:00 AM,187.4,145.26,188.58,41.67,47.13,424.15
12/30/19 9:00 AM,187.89,144.88,184.4,41.87,46.53,403.33
12/30/19 8:00 AM,188.05,143.93,184.91,42.95,45.96,379.89
12/30/19 7:00 AM,187.27,143.33,192.23,41.45,45.42,369.98
12/30/19 6:00 AM,187.39,143.25,185.17,41.45,45.47,367.51
12/30/19 5:00 AM,187.9,143.37,167.06,41.45,45.3,371.16
12/30/19 4:00 AM,188.06,144.51,151.48,41.45,45.26,343.32
12/30/19 3:00 AM,187.78,144.18,144.53,41.45,45.43,349.69
12/30/19 2:00 AM,188.64,144.49,133.16,41.39,45.37,349.57
12/30/19 1:00 AM,189.02,143.02,128.4,41.29,45.39,350.82
12/30/19 12:00 AM,188.04,143.61,146.9,41.51,45.84,362.85
12/29/19 11:00 PM,188.5,143.65,149.67,41.45,46.07,374.77
12/29/19 10:00 PM,187.94,143.9,162.13,41.45,46.4,394.06
12/29/19 9:00 PM,188.33,142.74,152.66,41.45,46.8,414.79
12/29/19 8:00 PM,187.88,141.76,142.2,41.45,46.85,426.6
12/29/19 7:00 PM,188.17,144.38,148.67,41.45,46.86,435.04
12/29/19 6:00 PM,188.13,147.59,155.84,41.45,47.17,434.25
12/29/19 5:00 PM,188.39,148.76,148.19,41.49,47.84,459
12/29/19 4:00 PM,189.2,148.15,138.17,41.32,48.3,485.13
12/29/19 3:00 PM,188.94,149.28,143.78,41.54,48.37,503.25
12/29/19 2:00 PM,188.34,148.68,149.29,41.7,48.19,488.93
12/29/19 1:00 PM,188.58,149.58,162.2,41.31,47.94,463.53
12/29/19 12:00 PM,188.26,148.84,183.51,41.7,47.42,441.81
12/29/19 11:00 AM,187.76,146.53,192.3,41.76,46.49,407.41
12/29/19 10:00 AM,185.43,143.96,204.14,41.38,45.49,354.21
12/29/19 9:00 AM,186.83,143.84,193.4,41.77,45.7,368.53
12/29/19 8:00 AM,188.07,142.92,212.41,41.53,45.56,364.81
12/29/19 7:00 AM,188.43,141.95,220.92,41.69,45.59,365.03
12/29/19 6:00 AM,184.75,140.74,222.58,41.64,45.66,377.11
12/29/19 5:00 AM,186.23,142.45,201.79,41.62,45.42,373.3
12/29/19 4:00 AM,187.04,142.76,182.12,41.62,45.34,368.41
12/29/19 3:00 AM,188.64,141.91,162.35,41.62,45.34,369.36
12/29/19 2:00 AM,187.78,141.21,152.81,41.62,45.41,370.11
12/29/19 1:00 AM,188.11,139.87,139.59,41.62,45.36,367.39
12/29/19 12:00 AM,187.93,140.03,143.64,41.62,45.76,374.97
